external_id,title,bean_type,price,price_original,weight_g,in_stock,process_raw,roast_raw,variety_raw,origin_raw,region_raw,farm_raw,norm_process,norm_roast,norm_variety,norm_country
aroma-hazelnut-coffee-beans-coffee,一磅 衣索比亞 蜜釀花影 (牛奶)  水洗 中深焙 咖啡 咖啡豆 100%阿拉比卡,單品（Single Origin）,350.0,350.0,454,True,水洗,中深焙,古優種（ Heirloom）,衣索比亞,,,水洗（Washed）,中深焙（Medium-dark）,古優原生種（Heirloom）,衣索比亞（Ethiopia）
autumn-fruity-glow-coffee-bean,一磅 秋日 果香微光 獨家配方 中焙 咖啡 咖啡豆 100%阿拉比卡,配方（Blend）,420.0,450.0,454,True,,,,,,,,,,
autumn-memory-orange-honey-passion-coffee-bean,強豆回歸｜秋之憶 橙蜜百香 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,450.0,450.0,200,True,,淺焙,,,,,,淺焙（Light）,,
bargain-cafe--best--coffee-bean-roaster-coffee--wake-up-to-work-espresso-454g,一磅 上班醒腦配方 深焙 加牛奶 義式 濃縮 咖啡 咖啡豆 100%阿拉比卡,配方（Blend）,350.0,350.0,454,True,,深焙,,,哥倫比亞、中美洲、巴西,,,深焙（Dark）,,"哥倫比亞（Colombia）,巴西（Brazil）"
bargain-cafe--best--coffee-bean-roaster-coffee-brazil-cerrado-454g,一磅 哥倫比亞 野莓可可 中焙  歐規特選  咖啡 咖啡豆 100%阿拉比卡,單品（Single Origin）,400.0,400.0,454,True,Washed 水洗,中焙,Castillo 卡斯提優,Colombia,Huila 蕙蘭,,水洗（Washed）,中焙（Medium）,卡斯提優（Castillo）,哥倫比亞（Colombia）
bargain-cafe--best--coffee-bean-roaster-coffee-chocolate-americano-454g-espresso,一磅 巧克力情人（適合美式黑咖啡） 咖啡 咖啡豆 100%阿拉比卡,單品（Single Origin）,360.0,360.0,454,True,,中～中深焙,,,,,,,,
bargain-cafe--best--coffee-bean-roaster-coffee-djimma-limu-gummay-baby-geisha-200g,衣索比亞 利姆 寶貝藝伎 日曬 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,380.0,400.0,200,True,,淺焙,寶貝藝伎（Baby Geisha）,衣索比亞,奧諾米亞 吉瑪利姆,,,淺焙（Light）,藝伎（Geisha）,衣索比亞（Ethiopia）
bargain-cafe--best--coffee-bean-roaster-coffee-ethiopia-coffee-review93-bench-maji-lucy-station-200g,衣索比亞 露西藝伎 水洗 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,380.0,400.0,200,True,水洗,淺,Geisha 藝伎,衣索比亞,班奇馬吉,露西處理站,水洗（Washed）,淺焙（Light）,藝伎（Geisha）,衣索比亞（Ethiopia）
bargain-cafe--best--coffee-bean-roaster-coffee-mandheling-brazil-454g-espresso,一磅 經典曼巴 中深焙 咖啡 咖啡豆 100%阿拉比卡,配方（Blend）,380.0,380.0,454,True,,中深焙,,,印尼、巴西,,,中深焙（Medium-dark）,,巴西（Brazil）
bargain-cafe--best--coffee-bean-roaster-coffee-sister-costa-rica-brasil-454g,一磅 藍莓核桃小姐姐 淺中焙 咖啡 咖啡豆 100%阿拉比卡,配方（Blend）,400.0,400.0,454,True,,淺中,,,巴西、哥倫比亞,,,淺中焙（Light-medium）,,"巴西（Brazil）,哥倫比亞（Colombia）"
